Ubigeo,Provincia,Capital,Altitud,Superficie,Populacao,Humedad_relativa,Temp_max,Temp_min
405,Caylloma ,Chivay ,3632,14019.46,86771,,"18,8","-0,1"
406,Condesuyos ,Chuquibamba ,2935,6958.40,16118,,"20,4","3,5"
407,Islay ,Mollendo ,52,3886.49,52630,,"22,9","16,3"
408,La Unión ,Cotahuasi ,2675,4746.40,12827,,22,"5,3"
501,Huamanga,Ayacucho,2760,,,,,
502,Cangallo,Cangallo,2570,,,,,
503,Huanca Sancos,Huanca Sancos,3422,,,,,
504,Huanta,Huanta,2642,,,,,
505,La Mar,San Miguel,2647,,,,,
506,Lucanas,Puquio,3221,,,,,
507,Parinacochas,Coracora,3178,,,,,
508,Páucar del Sara Sara,Pauza,2518,,,,,
509,Sucre,Querobamba,3508,,,,,
510,Víctor Fajardo,Huancapi,3102,,,,,
